,Unnamed: 0,Genre_Ids,Id,Original_Language,Original_Title,Popularity,Release_Date,Title,Vote_Average,Vote_Count,Clean Title,Year,Link
187,187,"[18, 27, 878]",52015,en,Stake Land,8.799,2010-10-01,Stake Land,6.2,415,stake land,2010,stake land2010
188,188,"[10752, 18, 36, 28]",50618,ru,Брестская крепость,8.769,2010-11-11,Fortress of War,7.3,75,fortress of war,2010,fortress of war2010
189,189,"[99, 10751]",59490,en,Cave of Forgotten Dreams,8.762,2010-11-03,Cave of Forgotten Dreams,7.3,143,cave of forgotten dreams,2010,cave of forgotten dreams2010
190,190,"[12, 27, 53]",34480,en,The Descent: Part 2,8.741,2010-04-27,The Descent: Part 2,6.0,480,the descent part 2,2010,the descent part 22010
191,191,"[28, 12, 53]",44918,en,Titanic II,8.729,2010-08-24,Titanic 2,3.2,90,titanic 2,2010,titanic 22010
192,192,"[28, 12, 16, 27]",31967,en,Dante's Inferno: An Animated Epic,8.711,2010-02-09,Dante's Inferno: An Animated Epic,6.0,102,dantes inferno an animated epic,2010,dantes inferno an animated epic2010
193,193,"[28, 80, 53]",37645,fr,L'Immortel,8.697000000000001,2010-03-24,22 Bullets,6.5,508,22 bullets,2010,22 bullets2010
194,194,[99],39452,en,Exit Through the Gift Shop,8.696,2010-01-24,Exit Through the Gift Shop,7.7,467,exit through the gift shop,2010,exit through the gift shop2010
195,195,"[18, 10749]",48650,es,Habitación en Roma,8.682,2010-11-11,Room in Rome,6.1,236,room in rome,2010,room in rome2010
196,196,"[18, 10749]",42297,en,Burlesque,8.676,2010-11-23,Burlesque,7.1,1195,burlesque,2010,burlesque2010
197,197,"[35, 18]",56272,en,Elektra Luxx,8.595,2010-03-14,Elektra Luxx,4.9,74,elektra luxx,2010,elektra luxx2010
198,198,"[18, 53, 80]",68341,ja,冷たい熱帯魚,8.582,2010-07-05,Cold Fish,6.6,113,cold fish,2010,cold fish2010
199,199,"[14, 18, 27, 10749]",52587,de,Wir sind die Nacht,8.57,2010-11-11,We Are the Night,6.2,129,we are the night,2010,we are the night2010
200,200,"[18, 10749]",56743,en,Elena Undone,8.531,2010-06-25,Elena Undone,7.2,81,elena undone,2010,elena undone2010
201,201,"[53, 27]",34583,en,The Final,8.517000000000001,2010-01-28,The Final,5.6,131,the final,2010,the final2010
202,202,"[27, 35, 53]",43919,en,Hatchet II,8.513,2010-10-01,Hatchet II,5.5,160,hatchet ii,2010,hatchet ii2010
203,203,[35],45523,en,Louis C.K.: Hilarious,8.504,2010-01-26,Louis C.K.: Hilarious,8.0,127,louis ck hilarious,2010,louis ck hilarious2010
204,204,"[80, 53, 35, 9648]",27004,en,Ca$h,8.503,2010-01-01,Ca$h,5.8,112,cah,2010,cah2010
205,205,"[10751, 35]",38579,en,Marmaduke,8.487,2010-06-04,Marmaduke,5.1,367,marmaduke,2010,marmaduke2010
206,206,[35],32823,en,Get Him to the Greek,8.485,2010-06-04,Get Him to the Greek,5.9,980,get him to the greek,2010,get him to the greek2010
207,207,"[10749, 878]",59457,en,Womb,8.482999999999999,2010-07-15,Womb,6.1,159,womb,2010,womb2010
208,208,"[18, 80]",48838,en,London Boulevard,8.469,2010-11-12,London Boulevard,5.9,409,london boulevard,2010,london boulevard2010
209,209,"[53, 18, 28, 80]",40720,en,Twelve,8.46,2010-07-30,Twelve,5.9,147,twelve,2010,twelve2010
210,210,"[14, 18, 28, 53, 16]",71883,ja,レドライン,8.436,2010-09-23,Redline,7.4,110,redline,2010,redline2010
211,211,"[35, 18]",39781,en,The Kids Are All Right,8.426,2010-07-09,The Kids Are All Right,6.6,854,the kids are all right,2010,the kids are all right2010
212,212,"[28, 12, 14, 27]",12685,en,BloodRayne: The Third Reich,8.419,2010-11-05,BloodRayne: The Third Reich,3.7,83,bloodrayne the third reich,2010,bloodrayne the third reich2010
213,213,"[9648, 53]",11761,it,Peacock,8.414,2010-04-20,Peacock,6.1,104,peacock,2010,peacock2010
214,214,"[14, 27, 53]",46261,en,Don't Be Afraid of the Dark,8.405,2010-11-06,Don't Be Afraid of the Dark,5.5,550,dont be afraid of the dark,2010,dont be afraid of the dark2010
215,215,"[16, 18]",41201,fr,L'illusionniste,8.404,2010-12-25,The Illusionist,7.4,280,the illusionist,2010,the illusionist2010
216,216,"[18, 53]",44113,en,Stone,8.401,2010-10-22,Stone,5.2,334,stone,2010,stone2010
217,217,[18],31007,en,Welcome to the Rileys,8.347999999999999,2010-10-29,Welcome to the Rileys,6.5,241,welcome to the rileys,2010,welcome to the rileys2010
218,218,"[35, 18, 14, 27, 9648]",45649,en,Rubber,8.318999999999999,2010-09-01,Rubber,5.9,417,rubber,2010,rubber2010
219,219,"[53, 28, 18]",30618,en,Bunraku,8.282,2010-09-01,Bunraku,5.9,161,bunraku,2010,bunraku2010
220,220,"[35, 18, 10749]",38073,en,Going the Distance,8.281,2010-09-03,Going the Distance,6.0,394,going the distance,2010,going the distance2010
221,221,"[27, 53]",52274,es,Los ojos de Julia,8.267999999999999,2010-10-29,Julia's Eyes,6.7,415,julias eyes,2010,julias eyes2010
222,222,"[12, 14, 28, 37, 53]",46528,en,The Warrior's Way,8.259,2010-12-03,The Warrior's Way,6.1,203,the warriors way,2010,the warriors way2010
223,223,"[18, 10749]",23830,en,Last Night,8.244,2010-09-18,Last Night,6.1,444,last night,2010,last night2010
224,224,"[35, 18, 9648]",44718,en,Get Low,8.215,2010-01-22,Get Low,6.7,135,get low,2010,get low2010
225,225,"[35, 18, 10749]",40794,it,Mine vaganti,8.202,2010-04-28,Loose Cannons,7.4,310,loose cannons,2010,loose cannons2010
226,226,"[18, 10402]",27586,en,The Runaways,8.19,2010-03-19,The Runaways,6.4,448,the runaways,2010,the runaways2010
227,227,"[18, 10749]",51736,en,Bloomington,8.176,2010-06-23,Bloomington,6.6,65,bloomington,2010,bloomington2010
228,228,"[27, 53]",41436,en,Paranormal Activity 2,8.163,2010-10-21,Paranormal Activity 2,5.7,1342,paranormal activity 2,2010,paranormal activity 22010
229,229,"[12, 16, 10751, 35]",43956,en,Tom and Jerry Meet Sherlock Holmes,8.142000000000001,2010-08-24,Tom and Jerry Meet Sherlock Holmes,6.6,19,tom and jerry meet sherlock holmes,2010,tom and jerry meet sherlock holmes2010
230,230,"[18, 28, 53, 80]",13635,fr,L'Instinct de mort,8.131,2010-08-27,Mesrine: Killer Instinct,7.4,434,mesrine killer instinct,2010,mesrine killer instinct2010
231,231,"[28, 27, 878]",52454,en,Mega Shark vs. Crocosaurus,8.129,2010-12-21,Mega Shark vs. Crocosaurus,2.7,60,mega shark vs crocosaurus,2010,mega shark vs crocosaurus2010
232,232,"[16, 18, 878, 53]",36800,en,Metropia,8.113,2010-05-12,Metropia,6.3,82,metropia,2010,metropia2010
233,233,[18],44129,en,The Company Men,8.109,2010-10-21,The Company Men,6.6,349,the company men,2010,the company men2010
234,234,"[16, 10751, 35, 12, 10749]",12819,en,Alpha and Omega,8.107999999999999,2010-09-17,Alpha and Omega,5.4,227,alpha and omega,2010,alpha and omega2010
236,236,"[27, 53]",42941,en,30 Days of Night: Dark Days,8.086,2010-10-05,30 Days of Night: Dark Days,4.7,218,30 days of night dark days,2010,30 days of night dark days2010
237,237,"[16, 35, 10751]",54559,en,Minions: Orientation Day,8.052999999999999,2010-12-13,Minions: Orientation Day,6.9,117,minions orientation day,2010,minions orientation day2010
238,238,"[16, 28, 878]",30675,en,Planet Hulk,8.052999999999999,2010-02-02,Planet Hulk,6.7,185,planet hulk,2010,planet hulk2010
239,239,"[18, 53]",44982,en,13,8.007,2010-03-12,13,5.7,392,13,2010,132010
240,240,"[27, 878]",29426,en,Survival of the Dead,7.9639999999999995,2010-05-28,Survival of the Dead,4.8,199,survival of the dead,2010,survival of the dead2010
241,241,[18],53399,it,La solitudine dei numeri primi,7.959,2010-10-10,The Solitude of Prime Numbers,5.8,218,the solitude of prime numbers,2010,the solitude of prime numbers2010
242,242,"[18, 28, 53]",34179,zh,錦衣衛,7.9479999999999995,2010-02-04,14 Blades,6.6,87,14 blades,2010,14 blades2010
243,243,"[10751, 16]",44874,en,Barbie: A Fashion Fairytale,7.947,2010-09-14,Barbie: A Fashion Fairytale,6.8,228,barbie a fashion fairytale,2010,barbie a fashion fairytale2010
245,245,"[18, 27, 53]",39957,en,Burning Bright,7.938,2010-08-17,Burning Bright,6.0,113,burning bright,2010,burning bright2010
246,246,"[18, 14]",44603,en,Hereafter,7.886,2010-10-22,Hereafter,5.9,848,hereafter,2010,hereafter2010
247,247,"[18, 9648, 53, 80, 10749]",46503,en,All Good Things,7.871,2010-12-03,All Good Things,6.0,493,all good things,2010,all good things2010
248,248,"[18, 28, 35, 80]",34769,en,Defendor,7.8629999999999995,2010-02-26,Defendor,6.4,295,defendor,2010,defendor2010
249,249,"[27, 28, 53, 878]",74471,en,The Dead,7.841,2010-10-07,The Dead,5.7,89,the dead,2010,the dead2010
250,250,"[16, 10751]",40619,en,Day & Night,7.835,2010-06-17,Day & Night,7.7,438,day  night,2010,day  night2010
251,251,"[28, 35, 80]",44425,hi,दबंग्ग,7.831,2010-09-10,Dabangg,6.2,73,dabangg,2010,dabangg2010
252,252,"[53, 9648]",11439,en,The Ghost Writer,7.829,2010-02-12,The Ghost Writer,6.8,1135,the ghost writer,2010,the ghost writer2010
253,253,"[18, 28, 53]",12645,en,Inhale,7.8260000000000005,2010-10-01,Inhale,6.1,63,inhale,2010,inhale2010
254,254,[35],35025,fr,Le Mac,7.825,2010-02-16,Le Mac,5.7,144,le mac,2010,le mac2010
255,255,"[18, 53]",8999,en,Derailed,7.814,2005-11-11,Derailed,6.2,500,derailed,2005,derailed2005
256,256,"[35, 10749]",34016,en,She's Out of My League,7.775,2010-03-12,She's Out of My League,6.1,970,shes out of my league,2010,shes out of my league2010
257,257,[27],26466,en,Triangle,7.761,2010-02-02,Triangle,6.8,1094,triangle,2010,triangle2010
258,258,"[18, 35]",39356,en,Boy,7.7589999999999995,2012-03-02,Boy,7.5,149,boy,2012,boy2012
259,259,[35],44269,fr,Tout ce qui Brille,7.756,2010-12-03,All That Glitters,6.4,456,all that glitters,2010,all that glitters2010
260,260,"[35, 10749, 18]",41210,en,The Switch,7.745,2010-08-20,The Switch,6.1,1008,the switch,2010,the switch2010
261,261,"[35, 18, 10749]",39053,en,Cyrus,7.735,2010-06-18,Cyrus,6.0,201,cyrus,2010,cyrus2010
262,262,"[35, 10749]",136294,fr,"L'Amour, c'est mieux à deux",7.7010000000000005,2010-06-29,The Perfect Date,5.6,118,the perfect date,2010,the perfect date2010
263,263,"[28, 53, 80, 18]",15362,fr,L'ennemi public n°1,7.7,2010-09-03,Mesrine: Public Enemy #1,7.4,404,mesrine public enemy 1,2010,mesrine public enemy 12010
264,264,[35],41382,en,Lottery Ticket,7.699,2010-08-20,Lottery Ticket,5.7,92,lottery ticket,2010,lottery ticket2010
265,265,[18],45958,es,Biutiful,7.697,2010-12-28,Biutiful,7.2,546,biutiful,2010,biutiful2010
266,266,"[28, 12, 18, 36, 10752]",8349,de,Der rote Baron,7.676,2010-02-11,The Red Baron,6.5,111,the red baron,2010,the red baron2010
267,267,"[35, 18, 10749]",41556,en,The Romantics,7.676,2010-09-10,The Romantics,4.9,145,the romantics,2010,the romantics2010
268,268,"[28, 12, 35]",37931,en,MacGruber,7.666,2010-05-21,MacGruber,5.3,270,macgruber,2010,macgruber2010
269,269,"[27, 9648, 53]",46441,en,Mirrors 2,7.662999999999999,2010-10-19,Mirrors 2,5.5,182,mirrors 2,2010,mirrors 22010
270,270,"[27, 53, 9648]",19237,en,Kill Theory,7.662999999999999,2010-01-29,Kill Theory,5.3,58,kill theory,2010,kill theory2010
271,271,"[36, 28]",44092,zh,剑雨,7.621,2010-09-01,Reign of Assassins,6.8,87,reign of assassins,2010,reign of assassins2010
272,272,"[18, 10749]",26022,hi,My Name Is Khan,7.619,2010-02-12,My Name Is Khan,7.8,409,my name is khan,2010,my name is khan2010
273,273,"[18, 28]",73211,no,Kongen av Bastøy,7.6160000000000005,2010-12-20,King of Devil's Island,7.3,96,king of devils island,2010,king of devils island2010
274,274,"[28, 35, 12]",35138,zh,大兵小将,7.607,2010-02-14,Little Big Soldier,6.8,123,little big soldier,2010,little big soldier2010
275,275,"[35, 18]",39210,en,Somewhere,7.596,2010-12-22,Somewhere,6.1,376,somewhere,2010,somewhere2010
276,276,"[35, 18, 10749]",27583,en,Greenberg,7.57,2010-03-26,Greenberg,5.9,280,greenberg,2010,greenberg2010
277,277,"[18, 10749, 10402]",45272,en,Country Strong,7.567,2010-12-22,Country Strong,6.3,126,country strong,2010,country strong2010
278,278,"[10402, 14, 28, 10751]",49852,en,The Nutcracker in 3D,7.566,2010-11-24,The Nutcracker in 3D,5.5,97,the nutcracker in 3d,2010,the nutcracker in 3d2010
279,279,"[99, 10751]",36970,en,Oceans,7.532,2010-04-21,Oceans,7.2,167,oceans,2010,oceans2010
280,280,[18],45094,en,Conviction,7.51,2010-10-15,Conviction,7.2,297,conviction,2010,conviction2010
281,281,"[18, 12, 36]",49009,en,The Way Back,7.502999999999999,2010-09-03,The Way Back,6.9,759,the way back,2010,the way back2010
282,282,"[10751, 12]",48844,en,The Search for Santa Paws,7.452000000000001,2010-11-23,The Search for Santa Paws,5.9,85,the search for santa paws,2010,the search for santa paws2010
283,283,"[35, 10751]",38843,en,Ramona and Beezus,7.442,2010-07-23,Ramona and Beezus,6.3,460,ramona and beezus,2010,ramona and beezus2010
284,284,[18],65496,fr,Mes chères études,7.394,2010-11-11,Student Services,4.8,67,student services,2010,student services2010
285,285,[18],41180,en,The Client List,7.382000000000001,2010-07-19,The Client List,5.6,108,the client list,2010,the client list2010
287,287,"[18, 35, 10749]",18438,ko,김씨 표류기,7.367999999999999,2010-02-05,Castaway on the Moon,8.1,259,castaway on the moon,2010,castaway on the moon2010
288,288,"[35, 10749]",38961,en,Tamara Drewe,7.364,2010-12-30,Tamara Drewe,5.8,226,tamara drewe,2010,tamara drewe2010
289,289,"[35, 18]",46829,en,Barney's Version,7.357,2011-01-14,Barney's Version,7.2,210,barneys version,2011,barneys version2011
290,290,"[18, 37]",57120,en,Meek's Cutoff,7.309,2010-10-08,Meek's Cutoff,6.5,113,meeks cutoff,2010,meeks cutoff2010
291,291,"[27, 53]",48393,es,Secuestrados,7.297000000000001,2010-06-17,Kidnapped,6.3,98,kidnapped,2010,kidnapped2010
292,292,"[27, 878, 53]",31196,en,Growth,7.28,2010-01-29,Growth,5.2,33,growth,2010,growth2010
293,293,"[35, 18, 36]",46138,en,Made in Dagenham,7.275,2010-11-19,Made in Dagenham,6.6,150,made in dagenham,2010,made in dagenham2010
294,294,"[14, 16, 18, 35, 878, 10751]",51256,en,Donkey's Christmas Shrektacular,7.265,2010-12-07,Donkey's Christmas Shrektacular,5.3,70,donkeys christmas shrektacular,2010,donkeys christmas shrektacular2010
296,296,"[12, 878]",50674,en,The Lost Future,7.188,2010-11-13,The Lost Future,5.0,79,the lost future,2010,the lost future2010
297,297,[99],42296,en,Catfish,7.172000000000001,2010-09-17,Catfish,6.8,284,catfish,2010,catfish2010
298,298,"[16, 35]",36736,en,The Drawn Together Movie: The Movie!,7.171,2010-04-20,The Drawn Together Movie: The Movie!,6.4,54,the drawn together movie the movie,2010,the drawn together movie the movie2010
299,299,"[18, 53, 9648]",33195,en,Triage,7.155,2010-08-10,Triage,6.5,82,triage,2010,triage2010
300,300,[27],47518,en,The Tortured,7.148,2010-06-15,The Tortured,5.3,77,the tortured,2010,the tortured2010
301,301,[35],42189,en,Kevin Hart: Seriously Funny,7.146,2010-07-20,Kevin Hart: Seriously Funny,7.3,89,kevin hart seriously funny,2010,kevin hart seriously funny2010
302,302,[18],44835,en,Hesher,7.14,2010-01-22,Hesher,7.0,335,hesher,2010,hesher2010
303,303,[18],38568,en,Howl,7.12,2010-09-24,Howl,6.8,100,howl,2010,howl2010
304,304,"[99, 10752]",39312,en,Restrepo,7.119,2010-06-25,Restrepo,7.5,188,restrepo,2010,restrepo2010
305,305,"[16, 35, 10751]",54551,en,Banana,7.117999999999999,2010-12-13,Banana,7.1,178,banana,2010,banana2010
306,306,[35],70076,en,Lying to Be Perfect,7.108,2010-01-30,Lying to Be Perfect,6.1,85,lying to be perfect,2010,lying to be perfect2010
307,307,[18],33511,en,Nowhere Boy,7.099,2010-01-27,Nowhere Boy,7.3,469,nowhere boy,2010,nowhere boy2010
308,308,"[18, 53]",41827,en,Red White & Blue,7.09,2010-10-08,Red White & Blue,6.2,64,red white  blue,2010,red white  blue2010
309,309,"[80, 18, 53]",37414,en,The Killer Inside Me,7.087000000000001,2010-04-27,The Killer Inside Me,5.9,304,the killer inside me,2010,the killer inside me2010
310,310,"[14, 18, 27, 35]",21588,it,Dellamorte Dellamore,7.077999999999999,1996-04-26,Cemetery Man,7.1,192,cemetery man,1996,cemetery man1996
311,311,"[16, 35, 10751]",45752,en,Scooby-Doo! Camp Scare,7.047999999999999,2010-09-14,Scooby-Doo! Camp Scare,7.2,52,scoobydoo camp scare,2010,scoobydoo camp scare2010
312,312,"[35, 18, 10749]",38093,en,Just Wright,7.047000000000001,2010-05-14,Just Wright,6.2,211,just wright,2010,just wright2010
313,313,"[28, 12, 16, 10751]",33427,en,LEGO: The Adventures of Clutch Powers,7.039,2010-01-01,LEGO: The Adventures of Clutch Powers,5.5,41,lego the adventures of clutch powers,2010,lego the adventures of clutch powers2010
314,314,[35],52077,fr,Rien à déclarer,6.978,2010-12-20,Nothing to Declare,5.8,602,nothing to declare,2010,nothing to declare2010
316,316,[18],33602,en,Temple Grandin,6.875,2010-02-06,Temple Grandin,7.8,173,temple grandin,2010,temple grandin2010
317,317,"[53, 9648, 80, 18]",291081,en,Red Riding: In the Year of Our Lord 1974,6.871,2010-02-05,Red Riding: In the Year of Our Lord 1974,6.8,99,red riding in the year of our lord 1974,2010,red riding in the year of our lord 19742010
318,318,"[18, 28, 53, 80]",51823,en,Across the Line: The Exodus of Charlie Wright,6.8629999999999995,2010-12-29,Across the Line: The Exodus of Charlie Wright,5.9,19,across the line the exodus of charlie wright,2010,across the line the exodus of charlie wright2010
319,319,[35],34803,en,Death at a Funeral,6.862,2010-04-15,Death at a Funeral,5.7,439,death at a funeral,2010,death at a funeral2010
320,320,"[28, 27, 878, 53]",46368,en,The Rig,6.856,2010-10-05,The Rig,3.7,39,the rig,2010,the rig2010
321,321,"[18, 9648, 10749]",38407,en,Shanghai,6.824,2010-10-02,Shanghai,6.1,80,shanghai,2010,shanghai2010
322,322,"[16, 10751]",45662,en,Space Chimps 2: Zartog Strikes Back,6.792000000000001,2010-05-26,Space Chimps 2: Zartog Strikes Back,4.6,50,space chimps 2 zartog strikes back,2010,space chimps 2 zartog strikes back2010
323,323,"[35, 18, 10749]",42888,en,How Do You Know,6.752999999999999,2010-12-17,How Do You Know,5.1,453,how do you know,2010,how do you know2010
324,324,"[18, 36]",34182,zh,孔子,6.706,2010-03-18,Confucius,5.9,45,confucius,2010,confucius2010
326,326,"[10749, 35, 18]",47607,en,Tiny Furniture,6.695,2010-11-12,Tiny Furniture,5.9,82,tiny furniture,2010,tiny furniture2010
327,327,"[18, 10402]",33473,en,Stomp the Yard 2: Homecoming,6.684,2010-10-10,Stomp the Yard 2: Homecoming,4.7,48,stomp the yard 2 homecoming,2010,stomp the yard 2 homecoming2010
328,328,"[16, 35]",48466,en,Scared Shrekless,6.682,2010-10-28,Scared Shrekless,6.2,177,scared shrekless,2010,scared shrekless2010
329,329,[35],35428,ru,О чём говорят мужчины,6.675,2010-11-11,What Men Talk About,7.7,71,what men talk about,2010,what men talk about2010
330,330,"[35, 10749, 18]",47218,en,Happythankyoumoreplease,6.645,2010-01-20,Happythankyoumoreplease,6.5,148,happythankyoumoreplease,2010,happythankyoumoreplease2010
331,331,"[35, 10749]",35688,en,Why Did I Get Married Too?,6.636,2010-04-02,Why Did I Get Married Too?,5.9,49,why did i get married too,2010,why did i get married too2010
332,332,"[27, 53]",47386,en,YellowBrickRoad,6.635,2010-01-23,YellowBrickRoad,4.9,75,yellowbrickroad,2010,yellowbrickroad2010
333,333,[35],38778,en,Dinner for Schmucks,6.632000000000001,2010-07-30,Dinner for Schmucks,5.6,920,dinner for schmucks,2010,dinner for schmucks2010
334,334,"[18, 10749]",60695,en,Sundays at Tiffany's,6.629,2010-12-06,Sundays at Tiffany's,6.5,43,sundays at tiffanys,2010,sundays at tiffanys2010
335,335,"[27, 53, 80, 9648]",33107,en,And Soon the Darkness,6.606,2010-12-17,And Soon the Darkness,5.2,197,and soon the darkness,2010,and soon the darkness2010
336,336,"[12, 14, 16, 28, 53, 878, 10751]",50337,en,Firebreather,6.591,2010-11-24,Firebreather,6.2,33,firebreather,2010,firebreather2010
337,337,"[35, 10749]",35458,en,Crazy on the Outside,6.579,2010-01-08,Crazy on the Outside,5.4,48,crazy on the outside,2010,crazy on the outside2010
338,338,"[80, 18, 53, 36]",43434,en,Carlos,6.568,2010-10-11,Carlos,7.0,87,carlos,2010,carlos2010
339,339,"[18, 10751, 12]",34751,en,Free Willy: Escape from Pirate's Cove,6.568,2010-03-23,Free Willy: Escape from Pirate's Cove,5.2,61,free willy escape from pirates cove,2010,free willy escape from pirates cove2010
340,340,"[35, 18, 10749]",36956,it,Cosa voglio di più,6.53,2010-06-06,Come Undone,5.6,49,come undone,2010,come undone2010
341,341,"[35, 10749]",36515,en,The Prince & Me 4: The Elephant Adventure,6.523,2010-03-23,The Prince & Me 4: The Elephant Adventure,5.5,37,the prince  me 4 the elephant adventure,2010,the prince  me 4 the elephant adventure2010
