,Unnamed: 0_x,tconst,primary_title,original_title,start_year,runtime_minutes,genres,Action,Crime,Drama,Biography,Comedy,Fantasy,Horror,Thriller,Adventure,Animation,Documentary,History,Mystery,Science Fiction,Romance,Family,War,Music,Sport,Western,Musical,Adult,News,Link,start_year_str,Unnamed: 0_y,Title,Studio,Domestic Gross,Foreign Gross,Year,Clean Title
1775,95564,tt5576336,New York New York,New York New York,2016,106.0,Drama,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,new york new york2016,2016,2655,"New York, New York",CL,92400.0,,2016,new york new york
1776,95619,tt5580036,"I, Tonya","I, Tonya",2017,120.0,"Biography,Comedy,Drama",False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,i tonya2017,2017,2857,"I, Tonya",Neon,30000000.0,23900000,2017,i tonya
1777,95627,tt5580266,The Hate U Give,The Hate U Give,2018,133.0,"Crime,Drama",False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,the hate u give2018,2018,3186,The Hate U Give,Fox,29700000.0,5200000,2018,the hate u give
1778,95629,tt5580390,The Shape of Water,The Shape of Water,2017,123.0,"Adventure,Drama,Fantasy",False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,the shape of water2017,2017,2805,The Shape of Water,FoxS,63900000.0,131400000,2017,the shape of water
1779,95650,tt5581616,Under the Sun,Under the Sun,2016,95.0,Drama,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,under the sun2016,2016,2650,Under the Sun,Icar.,105000.0,,2016,under the sun
1780,95831,tt5592248,The Beguiled,The Beguiled,2017,93.0,"Drama,Thriller",False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,the beguiled2017,2017,2881,The Beguiled,Focus,10700000.0,16700000,2017,the beguiled
1781,95900,tt5595168,Kingsglaive: Final Fantasy XV,Kingsglaive: Final Fantasy XV,2016,110.0,"Action,Adventure,Animation",True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,kingsglaive final fantasy xv2016,2016,2619,Kingsglaive: Final Fantasy: XV,VE,270000.0,,2016,kingsglaive final fantasy xv
1782,95904,tt5595240,Kaptaan,Kaptaan,2016,142.0,"Comedy,Drama,Family",False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,kaptaan2016,2016,2627,Kaptaan,UTV,204000.0,,2016,kaptaan
1783,96102,tt5606896,Three,Three,2016,78.0,Drama,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,three2016,2016,2645,Three,WGUSA,120000.0,,2016,three
1784,96162,tt5610554,Tully,Tully,2018,95.0,"Comedy,Drama,Mystery",False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,tully2018,2018,3214,Tully,Focus,9400000.0,6300000,2018,tully
1785,96255,tt5613834,A Gentleman,A Gentleman,2017,145.0,"Action,Comedy",True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,a gentleman2017,2017,2947,A Gentleman,FIP,410000.0,2500000,2017,a gentleman
1786,96355,tt5619332,Life of the Party,Life of the Party,2018,105.0,Comedy,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,life of the party2018,2018,3164,Life of the Party,WB (NL),53100000.0,12800000,2018,life of the party
1787,96383,tt5621080,Blood Ties,Blood Ties,2014,0.0,Documentary,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,blood ties2014,2014,1704,Blood Ties,RAtt.,42500.0,2400000,2014,blood ties
